,timestamp,axis1,axis2,axis3,Activity
1,1/22/2018 16:01,280,805,309,Walking
2,1/22/2018 16:02,84,421,164,Walking
3,1/22/2018 16:03,0,29,34,Sitting
4,1/22/2018 16:04,0,9,0,Sitting
5,1/22/2018 16:05,127,288,370,Walking
6,1/22/2018 16:06,15,94,67,Walking
7,1/22/2018 16:07,39,158,140,Walking
8,1/22/2018 16:08,63,245,310,Walking
9,1/22/2018 16:09,153,562,263,Walking
10,1/22/2018 16:10,180,471,495,Walking
11,1/22/2018 16:11,2105,1349,1101,Running
12,1/22/2018 16:12,3839,2257,714,Running
13,1/22/2018 16:13,4490,2404,511,Running
14,1/22/2018 16:14,4562,2384,426,Running
15,1/22/2018 16:15,1226,1167,870,Running
16,1/22/2018 16:16,50,339,206,Walking
17,1/22/2018 16:17,10,70,47,Walking
18,1/22/2018 16:18,21,65,7,Walking
19,1/22/2018 16:19,39,16,38,Sitting
20,1/22/2018 16:20,0,29,0,Sitting
21,1/22/2018 16:21,45,132,0,Walking
22,1/22/2018 16:22,4,77,75,Walking
23,1/22/2018 16:23,0,0,0,Sitting
24,1/22/2018 16:24,14,75,288,Walking
25,1/22/2018 16:25,1090,1803,1474,Running
26,1/22/2018 16:26,1276,1546,1642,Running
27,1/22/2018 16:27,693,1634,1295,Walking
28,1/22/2018 16:28,411,810,666,Walking
29,1/22/2018 16:29,2389,2652,1563,Running
30,1/22/2018 16:30,3559,3530,1145,Running
31,1/22/2018 16:31,3782,3074,1006,Running
32,1/22/2018 16:32,4070,3006,1121,Running
33,1/22/2018 16:33,3726,3113,1171,Running
34,1/22/2018 16:34,3930,2815,1081,Running
35,1/22/2018 16:35,3908,2983,904,Running
36,1/22/2018 16:36,3933,2807,900,Running
37,1/22/2018 16:37,3808,3176,800,Running
38,1/22/2018 16:38,2937,2725,875,Running
39,1/22/2018 16:39,3255,3147,826,Running
40,1/22/2018 16:40,3200,3110,768,Running
41,1/22/2018 16:41,1188,1902,1065,Running
42,1/22/2018 16:42,655,930,570,Walking
43,1/22/2018 16:43,330,856,478,Walking
44,1/22/2018 16:44,0,279,168,Walking
45,1/22/2018 16:45,21,360,218,Walking
46,1/22/2018 16:46,26,518,312,Walking
47,1/22/2018 16:47,172,505,422,Walking
48,1/22/2018 16:48,87,357,363,Walking
49,1/22/2018 16:49,12,336,277,Walking
50,1/22/2018 16:50,180,447,313,Walking
51,1/22/2018 16:51,473,982,472,Walking
52,1/22/2018 16:52,1175,1839,964,Running
53,1/22/2018 16:53,410,1026,758,Walking
54,1/22/2018 16:54,296,860,552,Walking
55,1/22/2018 16:55,195,761,692,Walking
56,1/22/2018 16:56,735,1129,918,Walking
57,1/22/2018 16:57,58,457,351,Walking
58,1/22/2018 16:58,170,398,409,Walking
59,1/22/2018 16:59,270,729,676,Walking
60,1/22/2018 17:00,498,1137,1019,Walking
61,1/22/2018 17:01,239,637,518,Walking
62,1/22/2018 17:02,381,1163,910,Walking
63,1/22/2018 17:03,314,800,271,Walking
64,1/22/2018 17:04,839,1315,636,Walking
65,1/22/2018 17:05,433,942,735,Walking
66,1/22/2018 17:06,0,15,66,Walking
67,1/22/2018 17:07,51,305,311,Walking
68,1/22/2018 17:08,58,365,381,Walking
69,1/22/2018 17:09,97,561,371,Walking
70,1/22/2018 17:10,305,931,859,Walking
71,1/22/2018 17:11,1674,2113,1240,Running
72,1/22/2018 17:12,1246,1760,1065,Running
73,1/22/2018 17:13,1567,2334,1178,Running
74,1/22/2018 17:14,138,351,295,Walking
75,1/22/2018 17:15,1195,1422,955,Running
76,1/22/2018 17:16,1199,1915,1441,Running
77,1/22/2018 17:17,690,1622,1117,Walking
78,1/22/2018 17:18,604,1192,755,Walking
79,1/22/2018 17:19,513,1144,662,Walking
80,1/22/2018 17:20,721,1910,1749,Walking
81,1/22/2018 17:21,1049,1561,1338,Running
82,1/22/2018 17:22,1533,2480,2154,Running
83,1/22/2018 17:23,797,1418,1031,Walking
84,1/22/2018 17:24,879,850,1055,Walking
85,1/22/2018 17:25,1044,888,1321,Running
86,1/22/2018 17:26,587,699,846,Walking
87,1/22/2018 17:27,369,485,792,Walking
88,1/22/2018 17:28,1241,1759,1521,Running
89,1/22/2018 17:29,6157,5804,3092,Running
90,1/22/2018 17:30,4552,3080,3489,Running
91,1/22/2018 17:31,1698,2709,1330,Running
92,1/22/2018 17:32,2305,6392,5382,Running
93,1/22/2018 17:33,1405,6940,4614,Running
94,1/22/2018 17:34,2263,4279,3326,Running
95,1/22/2018 17:35,2131,2211,1927,Running
96,1/22/2018 17:36,1644,4280,2688,Running
97,1/22/2018 17:37,1278,1637,2309,Running
98,1/22/2018 17:38,2509,4573,4740,Running
99,1/22/2018 17:39,2295,1894,1294,Running
100,1/22/2018 17:40,1787,1838,699,Running
101,1/22/2018 17:41,2903,1068,1056,Running
102,1/22/2018 17:42,3284,1972,1360,Running
103,1/22/2018 17:43,2039,1035,2759,Running
104,1/22/2018 17:44,2736,1810,3883,Running
105,1/22/2018 17:45,332,1541,654,Walking
106,1/22/2018 17:46,2121,4255,2284,Running
107,1/22/2018 17:47,3009,4477,3133,Running
108,1/22/2018 17:48,2575,5810,2760,Running
109,1/22/2018 17:49,2740,3526,1579,Running
110,1/22/2018 17:50,2096,3287,3626,Running
111,1/22/2018 17:51,1188,1124,2767,Running
112,1/22/2018 17:52,322,775,661,Walking
113,1/22/2018 17:53,1144,1380,1119,Running
114,1/22/2018 17:54,2153,5479,2509,Running
115,1/22/2018 17:55,2790,8454,3523,Running
116,1/22/2018 17:56,3060,6809,2373,Running
117,1/22/2018 17:57,1410,3505,1577,Running
118,1/22/2018 17:58,217,1107,648,Walking
119,1/22/2018 17:59,472,1495,727,Walking
120,1/22/2018 18:00,117,892,676,Walking
121,1/22/2018 18:01,1342,1426,975,Running
122,1/22/2018 18:02,639,766,890,Walking
123,1/22/2018 18:03,1741,3961,1978,Running
124,1/22/2018 18:04,2932,8949,3248,Running
125,1/22/2018 18:05,2770,6967,2138,Running
126,1/22/2018 18:06,380,1358,803,Walking
127,1/22/2018 18:07,777,858,578,Walking
128,1/22/2018 18:08,1509,2675,2114,Running
129,1/22/2018 18:09,3035,7817,3408,Running
130,1/22/2018 18:10,2613,5893,1845,Running
131,1/22/2018 18:11,3447,2791,2170,Running
132,1/22/2018 18:12,4778,3896,2409,Running
133,1/22/2018 18:13,3151,2590,1350,Running
134,1/22/2018 18:14,930,1418,1207,Walking
135,1/22/2018 18:15,6313,4391,2414,Running
136,1/22/2018 18:16,2529,2237,1440,Running
137,1/22/2018 18:17,2372,2513,1061,Running
138,1/22/2018 18:18,6570,5348,5080,Running
139,1/22/2018 18:19,1812,2041,3767,Running
140,1/22/2018 18:20,1661,2137,3086,Running
141,1/22/2018 18:21,1715,2369,1771,Running
142,1/22/2018 18:22,1400,2472,1921,Running
143,1/22/2018 18:23,1014,1815,1641,Running
144,1/22/2018 18:24,467,578,377,Walking
145,1/22/2018 18:25,329,332,277,Walking
146,1/22/2018 18:26,803,920,353,Walking
147,1/22/2018 18:27,71,115,211,Walking
148,1/22/2018 18:28,522,1147,433,Walking
149,1/22/2018 18:29,664,739,589,Walking
150,1/22/2018 18:30,17,108,184,Walking
151,1/22/2018 18:31,439,801,443,Walking
152,1/22/2018 18:32,6,121,34,Walking
153,1/22/2018 18:33,706,1102,828,Walking
154,1/22/2018 18:34,500,1024,813,Walking
155,1/22/2018 18:35,1365,1833,1211,Running
156,1/22/2018 18:36,500,1409,1553,Walking
157,1/22/2018 18:37,592,2303,1384,Walking
158,1/22/2018 18:38,715,1596,1406,Walking
159,1/22/2018 18:39,1367,1097,1088,Running
